Datetime,Open,High,Low,Close,Volume,body_mid
2026-04-06 10:00:00+05:30,150.33,151.60,150.00,151.50,55831,150.92
2026-04-06 10:30:00+05:30,151.49,152.44,150.63,151.95,67810,151.72
2026-04-06 11:00:00+05:30,151.95,151.99,150.26,151.00,38027,151.48
2026-04-06 11:30:00+05:30,151.09,151.65,150.77,151.65,28494,151.37
2026-04-06 12:00:00+05:30,151.75,151.75,151.27,151.45,36525,151.60
2026-04-06 12:30:00+05:30,151.46,151.60,150.60,151.48,58844,151.47
2026-04-06 13:00:00+05:30,151.50,152.21,151.02,151.92,39390,151.71
2026-04-06 13:30:00+05:30,151.90,152.03,151.30,151.64,36712,151.77
2026-04-06 14:00:00+05:30,151.64,152.40,151.57,151.92,69868,151.78
2026-04-06 14:30:00+05:30,151.92,152.33,151.60,151.89,38025,151.90
2026-04-06 15:00:00+05:30,151.87,152.97,151.87,151.99,122124,151.93
2026-04-07 09:00:00+05:30,151.45,154.84,150.90,154.20,78261,152.82
2026-04-07 09:30:00+05:30,154.07,154.54,152.60,153.85,87579,153.96
2026-04-07 10:00:00+05:30,153.78,154.80,153.75,154.67,59455,154.22
2026-04-07 10:30:00+05:30,154.67,154.88,153.92,154.00,47785,154.33
2026-04-07 11:00:00+05:30,154.09,154.14,153.68,154.14,34784,154.12
2026-04-07 11:30:00+05:30,154.09,154.63,153.90,154.50,36678,154.30
2026-04-07 12:00:00+05:30,154.50,154.88,153.81,153.90,58993,154.20
2026-04-07 12:30:00+05:30,153.93,154.24,153.70,153.79,22996,153.86
2026-04-07 13:00:00+05:30,153.70,153.99,153.46,153.97,42762,153.83
2026-04-07 13:30:00+05:30,153.89,154.41,153.36,153.50,51693,153.70
2026-04-07 14:00:00+05:30,153.56,153.75,153.32,153.55,16388,153.56
2026-04-07 14:30:00+05:30,153.50,153.71,153.25,153.64,41323,153.57
2026-04-07 15:00:00+05:30,153.62,154.00,153.01,153.55,153843,153.58
2026-04-08 09:00:00+05:30,158.97,158.97,157.36,157.51,83885,158.24
2026-04-08 09:30:00+05:30,157.66,159.16,157.60,158.64,148686,158.15
2026-04-08 10:00:00+05:30,158.64,159.29,158.64,159.12,76357,158.88
2026-04-08 10:30:00+05:30,159.12,159.88,159.07,159.53,100735,159.32
2026-04-08 11:00:00+05:30,159.53,159.80,159.38,159.52,29399,159.52
2026-04-08 11:30:00+05:30,159.42,159.42,158.60,158.90,44665,159.16
2026-04-08 12:00:00+05:30,158.90,160.10,158.78,159.80,104407,159.35
2026-04-08 12:30:00+05:30,159.79,161.47,159.60,160.55,175645,160.17
2026-04-08 13:00:00+05:30,160.58,160.87,160.50,160.72,33475,160.65
2026-04-08 13:30:00+05:30,160.72,160.95,160.10,160.39,57453,160.56
2026-04-08 14:00:00+05:30,160.24,161.40,159.90,160.90,69398,160.57
2026-04-08 14:30:00+05:30,160.81,161.10,160.53,160.75,38163,160.78
2026-04-08 15:00:00+05:30,160.68,161.17,160.34,161.17,111450,160.93
2026-04-09 09:00:00+05:30,162.50,165.66,161.99,163.62,194154,163.06
2026-04-09 09:30:00+05:30,163.50,163.75,161.01,161.11,213957,162.30
2026-04-09 10:00:00+05:30,161.10,162.89,160.59,162.89,214096,162.00
2026-04-09 10:30:00+05:30,162.89,163.00,162.50,162.70,38489,162.79
2026-04-09 11:00:00+05:30,162.70,163.40,162.70,163.17,57491,162.94
2026-04-09 11:30:00+05:30,163.17,163.40,162.80,163.12,53844,163.14
2026-04-09 12:00:00+05:30,163.20,163.70,162.87,163.42,47095,163.31
2026-04-09 12:30:00+05:30,163.35,163.43,162.50,162.94,26558,163.14
2026-04-09 13:00:00+05:30,162.94,163.12,161.82,161.82,49286,162.38
2026-04-09 13:30:00+05:30,161.69,162.00,161.52,161.83,20662,161.76
2026-04-09 14:00:00+05:30,161.83,162.39,161.43,161.50,54269,161.67
2026-04-09 14:30:00+05:30,161.52,161.84,161.32,161.56,31894,161.54
2026-04-09 15:00:00+05:30,161.57,162.60,160.54,161.52,214811,161.55
2026-04-10 09:00:00+05:30,162.00,164.25,162.00,163.86,56129,162.93
2026-04-10 09:30:00+05:30,163.99,164.82,163.15,164.20,101753,164.10
2026-04-10 10:00:00+05:30,164.20,165.45,163.52,165.13,133896,164.66
2026-04-10 10:30:00+05:30,165.13,165.60,164.75,165.25,73427,165.19
2026-04-10 11:00:00+05:30,165.25,165.30,164.70,165.03,67725,165.14
2026-04-10 11:30:00+05:30,165.05,165.15,164.32,164.60,15294,164.82
2026-04-10 12:00:00+05:30,164.59,164.90,163.61,164.00,40771,164.30
2026-04-10 12:30:00+05:30,164.08,164.51,163.33,163.52,112692,163.80
2026-04-10 13:00:00+05:30,163.47,164.34,163.47,164.31,38555,163.89
2026-04-10 13:30:00+05:30,164.31,164.70,163.89,164.40,148306,164.36
2026-04-10 14:00:00+05:30,164.40,164.72,163.18,163.61,62893,164.00
2026-04-10 14:30:00+05:30,163.63,163.67,162.72,163.24,77822,163.44
2026-04-10 15:00:00+05:30,163.14,164.75,163.09,164.75,100456,163.94
2026-04-13 09:00:00+05:30,160.35,161.17,158.50,160.69,65606,160.52
2026-04-13 09:30:00+05:30,160.43,163.80,160.36,163.75,183503,162.09
2026-04-13 10:00:00+05:30,163.89,167.59,163.43,166.95,259687,165.42
2026-04-13 10:30:00+05:30,166.95,167.73,165.59,167.38,235622,167.16
2026-04-13 11:00:00+05:30,167.25,167.43,166.41,167.06,123319,167.16
2026-04-13 11:30:00+05:30,167.00,168.49,166.93,167.93,158614,167.46
2026-04-13 12:00:00+05:30,167.95,168.73,167.83,168.67,98520,168.31
2026-04-13 12:30:00+05:30,168.78,169.30,168.00,168.38,166157,168.58
2026-04-13 13:00:00+05:30,168.35,168.37,167.81,168.33,35110,168.34
2026-04-13 13:30:00+05:30,168.36,168.53,168.02,168.50,39362,168.43
2026-04-13 14:00:00+05:30,168.50,168.50,167.50,167.79,55251,168.14
2026-04-13 14:30:00+05:30,167.78,168.15,167.55,168.00,35113,167.89
2026-04-13 15:00:00+05:30,167.71,168.05,166.85,167.44,187961,167.58
2026-04-15 09:00:00+05:30,169.00,171.33,168.75,169.01,113037,169.00
2026-04-15 09:30:00+05:30,169.21,170.10,168.66,169.65,74311,169.43
2026-04-15 10:00:00+05:30,169.65,170.08,168.73,168.73,89795,169.19
2026-04-15 10:30:00+05:30,168.70,169.03,168.55,168.92,37488,168.81
2026-04-15 11:00:00+05:30,168.90,168.95,168.40,168.40,44770,168.65
2026-04-15 11:30:00+05:30,168.40,169.28,168.38,169.00,25642,168.70
2026-04-15 12:00:00+05:30,169.15,169.50,169.00,169.38,30062,169.26
2026-04-15 12:30:00+05:30,169.45,169.92,169.27,169.60,110503,169.52
2026-04-15 13:00:00+05:30,169.75,169.92,169.48,169.69,47209,169.72
2026-04-15 13:30:00+05:30,169.68,170.25,169.30,169.95,102208,169.82
2026-04-15 14:00:00+05:30,169.77,169.98,168.75,168.91,112703,169.34
2026-04-15 14:30:00+05:30,168.94,169.10,168.56,169.09,83777,169.02
2026-04-15 15:00:00+05:30,169.10,169.42,168.54,168.93,185836,169.02
2026-04-16 09:00:00+05:30,169.10,171.45,169.10,170.75,34223,169.92
2026-04-16 09:30:00+05:30,170.75,170.75,168.58,168.58,112447,169.67
2026-04-16 10:00:00+05:30,168.62,169.65,168.58,169.65,57047,169.14
2026-04-16 10:30:00+05:30,169.50,169.81,169.42,169.57,32980,169.54
